I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
228,25,0.002582073211669922,9682.142197599262,8.5375,207.828125,,6367,6392
229,37,0.0036318302154541016,10187.700912492615,8.3625,207.828125,,6392,6429
230,28,0.002877950668334961,9729.145224090797,8.5375,207.828125,,6429,6457
231,19,0.0019578933715820312,9704.307842182172,8.45,207.828125,,6457,6476
232,23,0.002312898635864258,9944.231728687764,8.425,207.828125,,6476,6499
233,37,0.0039031505584716797,9479.521593060901,8.55,207.828125,,6499,6536
234,21,0.0021409988403320312,9808.506013363029,8.525,207.828125,,6536,6557
235,27,0.0027379989624023438,9861.21630094044,8.375,207.828125,,6557,6584
236,26,0.0026009082794189453,9996.507837565314,8.425,207.828125,,6584,6610
237,26,0.0025959014892578125,10015.788390889053,8.4125,207.828125,,6610,6636
238,30,0.0035791397094726562,8381.902478017586,9.0,207.828125,,6636,6666
239,31,0.003407001495361328,9098.910006997901,8.7125,207.828125,,6666,6697
240,25,0.00429224967956543,5824.451480308838,10.1,207.828125,,6697,6722
241,23,0.0022859573364257812,10061.430120984563,8.35,207.828125,,6722,6745
242,25,0.0025877952575683594,9660.733370186106,8.2875,207.828125,,6745,6770
243,38,0.003734111785888672,10176.449495594432,8.3375,207.828125,,6770,6808
244,22,0.0021538734436035156,10214.15629842816,8.35,207.828125,,6808,6830
245,28,0.0027971267700195312,10010.272076372315,8.3875,207.828125,,6830,6858
246,28,0.002827167510986328,9903.905548996458,8.4,207.828125,,6858,6886
247,31,0.003309965133666992,9365.657566808326,8.65,207.828125,,6886,6917
248,21,0.002106904983520508,9967.226886952585,8.425,207.828125,,6917,6938
249,20,0.0020132064819335938,9934.400757934629,8.4,207.828125,,6938,6958
250,89,0.009293079376220703,9577.01924162348,8.575,207.828125,,6958,7047
251,28,0.003075122833251953,9105.327337571716,8.65,207.828125,,7047,7075
252,40,0.003950834274291992,10124.443908032104,8.35,207.828125,,7075,7115
253,25,0.002537965774536133,9850.40864255519,8.4625,207.828125,,7115,7140
254,25,0.002496004104614258,10016.00916993027,8.4125,207.828125,,7140,7165
255,29,0.002900838851928711,9997.108243609764,8.325,207.828125,,7165,7194
256,41,0.004239082336425781,9671.90461192351,8.525,207.828125,,7194,7235
257,36,0.0036439895629882812,9879.281863386548,8.4375,207.828125,,7235,7271
258,30,0.0030367374420166016,9879.023317892754,8.375,207.828125,,7271,7301
259,27,0.002920866012573242,9243.83380948494,8.7125,207.828125,,7301,7328
260,20,0.0019638538360595703,10184.057302415928,8.325,207.828125,,7328,7348
261,29,0.002914905548095703,9948.864387371175,8.3875,207.828125,,7348,7377
262,22,0.002151966094970703,10223.209395080878,8.4,207.828125,,7377,7399
263,64,0.006975889205932617,9174.457636966403,8.6875,207.828125,,7399,7463
264,44,0.004426002502441406,9941.25059254471,8.425,207.828125,,7463,7507
265,52,0.005766153335571289,9018.143808145545,8.75,207.828125,,7507,7559
266,24,0.0024251937866210938,9896.116397955171,8.4875,207.828125,,7559,7583
267,31,0.0031380653381347656,9878.698070202097,8.45,207.828125,,7583,7614
268,71,0.00732111930847168,9697.970625590257,8.45,207.828125,,7614,7685
269,22,0.0023889541625976562,9209.050698602794,8.6625,207.828125,,7685,7707
270,23,0.0023009777069091797,9995.750906641799,8.3875,207.828125,,7707,7730
271,14,0.0014226436614990234,9840.833919892744,8.4375,207.828125,,7730,7744
272,21,0.0020809173583984375,10091.703024747938,8.325,207.828125,,7744,7765
273,40,0.0042150020599365234,9489.912325357769,8.5125,207.828125,,7765,7805
274,24,0.0024099349975585938,9958.774831816383,8.4125,207.828125,,7805,7829
275,20,0.001997232437133789,10013.856989375672,8.1625,207.828125,,7829,7849
276,14,0.001374959945678711,10182.11479105254,8.1125,207.828125,,7849,7863
277,32,0.003446817398071289,9283.926679117383,8.5375,207.828125,,7863,7895
278,27,0.0029370784759521484,9192.808507184025,8.675,207.828125,,7895,7922
279,28,0.002769947052001953,10108.496470993286,8.35,207.828125,,7922,7950
280,184,1.3553001880645752,135.76328079962832,0.5,213.09375,,7950,8134
281,19,0.0029718875885009766,6393.243160850381,9.8375,213.09375,,8134,8153
282,21,0.0031507015228271484,6665.182292849036,9.6625,213.09375,,8153,8174
283,29,0.00409388542175293,7083.7351348203365,9.4625,213.09375,,8174,8203
284,21,0.0028259754180908203,7431.06251581878,9.3625,213.09375,,8203,8224
285,29,0.003779172897338867,7673.636742161378,9.2625,213.09375,,8224,8253
286,22,0.0027801990509033203,7913.1024783466255,9.1875,213.09375,,8253,8275
287,18,0.00222015380859375,8107.546391752578,8.9875,213.09375,,8275,8293
288,27,0.003396272659301758,7949.891751491751,9.1375,213.09375,,8293,8320
289,22,0.0025682449340820312,8566.161158559227,8.925,213.09375,,8320,8342
290,26,0.0030629634857177734,8488.511247762124,8.975,213.09375,,8342,8368
291,46,0.0056078433990478516,8202.7968198631,9.0625,213.09375,,8368,8414
292,29,0.003242015838623047,8945.051919399912,8.8375,213.09375,,8414,8443
293,23,0.002531290054321289,9086.275972496938,8.7375,213.09375,,8443,8466
294,48,0.005583047866821289,8597.454498868343,8.875,213.09375,,8466,8514
