I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
111,100,0.009256124496459961,10803.657625634289,7.9125,238.9375,
112,100,0.00813603401184082,12291.000732600733,7.4125,238.9375,
113,100,0.008130073547363281,12300.011730205279,7.4125,238.9375,
114,100,0.008163690567016602,12249.361876113431,7.475,238.9375,
115,100,0.008275032043457031,12084.545349775268,7.4125,238.9375,
116,100,0.008410215377807617,11890.3019135365,7.5625,238.9375,
117,100,0.008369922637939453,11947.541730758276,7.4875,238.9375,
118,100,0.008334875106811523,11997.780256872336,7.5625,238.9375,
119,100,0.008221149444580078,12163.749202482455,7.4875,238.9375,
120,100,0.008372783660888672,11943.45919471496,7.5625,238.9375,
121,100,0.00811004638671875,12330.38570084666,7.4125,238.9375,
122,100,2.8336620330810547,35.290023592287575,9.0125,243.0,
123,100,0.847938060760498,117.93314232210791,12.4375,243.015625,
124,100,0.5683510303497314,175.94760044415787,12.4125,243.03125,
125,100,0.3608090877532959,277.1548816097871,12.4,242.03125,
126,100,0.1247248649597168,801.7647486112545,12.225,242.03125,
127,100,1.4346930980682373,69.70131809698283,12.4375,243.78125,
128,100,1.0520319938659668,95.05414339398922,12.45,243.796875,
129,100,0.7441227436065674,134.3864313504601,12.4375,242.8125,
130,100,0.47010302543640137,212.71932871984603,12.4125,242.8125,
131,100,0.23425698280334473,426.88161865359854,12.325,242.8125,
132,100,0.717310905456543,139.40956318843854,12.4375,245.6875,
133,100,1.2343392372131348,81.01500542571902,12.4625,245.6875,
134,100,0.927264928817749,107.84404423393725,12.4375,245.6875,
135,100,0.6633400917053223,150.7522329050229,12.4375,242.015625,
136,100,0.3441779613494873,290.5473656939277,12.3875,241.015625,
137,100,0.10866999626159668,920.2172029092026,12.1625,241.03125,
138,100,0.022745132446289062,4396.545073375262,10.7125,239.0625,
139,100,0.009557008743286133,10463.52500935512,8.1125,239.0625,
140,100,0.009189128875732422,10882.42436822168,7.8875,239.0625,
141,100,0.008591890335083008,11638.882259899548,7.7,239.0625,
142,100,0.009649991989135742,10362.70290302656,8.1,239.0625,
143,100,0.00860595703125,11619.85815602837,7.6375,239.0625,
144,100,0.007996797561645508,12505.00581378015,7.35,239.0625,
145,100,0.009532928466796875,10489.955982392958,8.05,239.0625,
146,100,0.008134841918945312,12292.801875732708,7.4,239.0625,
147,100,0.008280277252197266,12076.890296573567,7.4875,239.0625,
148,100,0.010376930236816406,9636.761327083908,8.4875,239.0625,
