I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
160,12,0.0009682178497314453,12393.904949519823,7.5,196.5625,,2309,2321
161,27,0.0023560523986816406,11459.84699453552,7.725,196.5625,,2321,2348
162,18,0.00150299072265625,11976.121827411167,7.6,196.5625,,2348,2366
163,19,0.0016770362854003906,11329.510378163208,7.8375,196.5625,,2366,2385
164,25,0.002191781997680664,11406.243881213968,7.7375,196.5625,,2385,2410
165,14,0.0011448860168457031,12228.291545189504,7.3875,196.5625,,2410,2424
166,15,0.0012192726135253906,12302.416894798593,7.5125,196.5625,,2424,2439
167,32,0.0025560855865478516,12519.142617293162,7.375,196.5625,,2439,2471
168,5,0.00042819976806640625,11676.792873051225,7.8625,196.5625,,2471,2476
169,18,0.001474618911743164,12206.543573160872,7.525,196.5625,,2476,2494
170,22,0.0017671585083007812,12449.364274150026,7.4625,196.5625,,2494,2516
171,6,0.0004851818084716797,12366.49828009828,7.4875,196.5625,,2516,2522
172,6,0.0005090236663818359,11787.271194379391,7.6,196.5625,,2522,2528
173,17,0.0013799667358398438,12319.137525915688,7.475,196.5625,,2528,2545
174,11,0.0008969306945800781,12264.04678362573,7.45,196.5625,,2545,2556
175,19,0.0015132427215576172,12555.817866708681,7.425,196.5625,,2556,2575
176,11,0.000982046127319336,11201.103180383589,7.8875,196.5625,,2575,2586
177,4,0.0004019737243652344,9950.899169632266,8.45,196.5625,,2586,2590
178,11,0.001065969467163086,10319.244911652873,8.175,196.5625,,2590,2601
179,14,0.001348257064819336,10383.776480990275,8.1875,196.5625,,2601,2615
180,9,0.0007460117340087891,12064.153403643337,7.55,196.5625,,2615,2624
181,15,0.001222848892211914,12266.43790212517,7.45,196.5625,,2624,2639
182,15,0.0012049674987792969,12448.468539770478,7.425,196.5625,,2639,2654
183,13,0.001051187515258789,12366.965751871172,7.475,196.5625,,2654,2667
184,10,0.0008766651153564453,11406.864291542019,7.8875,196.5625,,2667,2677
185,5,1.373687744140625,3.639837380312354,0.1625,202.34375,,2677,2682
186,22,0.007234811782836914,3040.8531224254407,11.7625,206.65625,,2682,2704
187,29,0.004767894744873047,6082.34903490349,9.7125,206.65625,,2704,2733
188,6,0.0009639263153076172,6224.542171654712,9.95,206.65625,,2733,2739
189,12,0.0017461776733398438,6872.152921900601,9.525,206.65625,,2739,2751
190,6,0.0008380413055419922,7159.551635846373,9.525,206.65625,,2751,2757
191,6,0.0008409023284912109,7135.1925148851715,9.45,206.65625,,2757,2763
192,7,0.0009441375732421875,7414.173737373738,9.45,206.65625,,2763,2770
193,16,0.002122163772583008,7539.474665767892,9.325,206.65625,,2770,2786
194,17,0.002226114273071289,7636.625040162793,9.2875,206.65625,,2786,2803
195,7,0.0008459091186523438,8275.1206313416,9.075,206.65625,,2803,2810
196,16,0.0019071102142333984,8389.656707088387,8.95,206.65625,,2810,2826
197,7,0.0008668899536132812,8074.842684268427,9.0125,206.65625,,2826,2833
198,14,0.001667022705078125,8398.20594965675,8.9125,206.65625,,2833,2847
199,18,0.0021228790283203125,8479.051212938006,8.975,206.65625,,2847,2865
200,13,0.0014777183532714844,8797.346240722814,8.8,206.65625,,2865,2878
201,5,0.0005931854248046875,8429.067524115755,8.9375,206.65625,,2878,2883
202,9,0.0010769367218017578,8357.036971441223,8.55,206.65625,,2883,2892
203,15,0.001708984375,8777.142857142857,8.75,206.65625,,2892,2907
204,8,0.0009200572967529297,8695.110650427572,8.8125,206.65625,,2907,2915
205,29,0.0032579898834228516,8901.193999268204,8.7875,206.65625,,2915,2944
206,16,0.0016760826110839844,9546.068847795164,8.525,206.65625,,2944,2960
207,15,0.0015821456909179688,9480.795660036167,8.55,206.65625,,2960,2975
208,13,0.0013322830200195312,9757.686471009305,8.4625,206.65625,,2975,2988
209,37,0.003654003143310547,10125.8807255644,8.2375,206.65625,,2988,3025
210,13,0.0013399124145507812,9702.126690391458,8.3875,206.65625,,3025,3038
211,170,0.01580214500427246,10758.033162841926,8.025,206.671875,,3038,3208
212,35,0.0031871795654296875,10981.496110113705,7.825,206.671875,,3208,3243
